timestamp,power in Watt
2025-05-29 01:00,0
2025-05-29 02:00,0
2025-05-29 03:00,0
2025-05-29 04:00,0
2025-05-29 05:00,0
2025-05-29 05:30,3
2025-05-29 05:45,7
2025-05-29 06:00,16
2025-05-29 06:15,20
2025-05-29 06:30,16
2025-05-29 06:45,38
2025-05-29 07:00,25
2025-05-29 07:15,16
2025-05-29 07:30,19
2025-05-29 07:45,28
2025-05-29 08:00,70
2025-05-29 08:15,115
2025-05-29 08:30,204
2025-05-29 08:45,96
2025-05-29 09:00,454
2025-05-29 09:15,94
2025-05-29 09:30,188
2025-05-29 09:45,482
2025-05-29 10:00,644
2025-05-29 10:15,773
2025-05-29 10:30,810
2025-05-29 10:45,812
2025-05-29 11:00,749
2025-05-29 11:15,780
2025-05-29 11:30,156
2025-05-29 11:45,637
2025-05-29 12:00,170
2025-05-29 12:15,636
2025-05-29 12:30,579
2025-05-29 12:45,430
2025-05-29 13:00,321
2025-05-29 13:15,187
2025-05-29 13:30,278
2025-05-29 13:45,326
2025-05-29 14:00,337
2025-05-29 14:15,287
2025-05-29 14:30,259
2025-05-29 14:45,308
2025-05-29 15:00,194
2025-05-29 15:15,265
2025-05-29 15:30,233
2025-05-29 15:45,167
2025-05-29 16:00,135
2025-05-29 16:15,127
2025-05-29 16:30,116
2025-05-29 16:45,109
2025-05-29 17:00,113
2025-05-29 17:15,127
2025-05-29 17:30,114
2025-05-29 17:45,128
2025-05-29 18:00,93
2025-05-29 18:15,71
2025-05-29 18:30,41
2025-05-29 18:45,48
2025-05-29 19:00,41
2025-05-29 19:15,33
2025-05-29 19:30,20
2025-05-29 19:45,9
2025-05-29 20:00,3
2025-05-29 20:15,4
2025-05-29 21:15,0
2025-05-29 22:15,0
2025-05-29 23:15,0
2025-05-30 00:00,0
2025-05-30 01:00,0
2025-05-30 02:00,0
2025-05-30 03:00,0
2025-05-30 04:00,0
2025-05-30 05:00,0
2025-05-30 05:15,2
2025-05-30 05:30,2
2025-05-30 05:45,2
2025-05-30 06:00,8
2025-05-30 06:15,22
